scope,topology,predictor_type,predictor,outcome,spearman_rho,n,abs_spearman_rho
within_topology,grid_2d,graph,avg_degree,pre_transpile_depth,0.9884940659641828,60,0.9884940659641828
within_topology,grid_2d,graph,avg_degree,pre_transpile_2q_count,0.929473530604223,60,0.929473530604223
within_topology,grid_2d,graph,avg_degree,transpiled_depth,0.9831463101135857,60,0.9831463101135857
within_topology,grid_2d,graph,avg_degree,transpiled_2q_count,0.9328309671737864,60,0.9328309671737864
within_topology,grid_2d,graph,avg_degree,swap_count,0.9589824407973202,60,0.9589824407973202
within_topology,grid_2d,graph,avg_degree,depth_overhead,0.3161721110138626,60,0.3161721110138626
within_topology,grid_2d,graph,avg_degree,twoq_overhead,0.9277395819430192,60,0.9277395819430192
within_topology,grid_2d,graph,max_degree,pre_transpile_depth,0.9950091637274843,60,0.9950091637274843
within_topology,grid_2d,graph,max_degree,pre_transpile_2q_count,0.9350796088517922,60,0.9350796088517922
within_topology,grid_2d,graph,max_degree,transpiled_depth,0.9899199439726057,60,0.9899199439726057
within_topology,grid_2d,graph,max_degree,transpiled_2q_count,0.9382024009977387,60,0.9382024009977387
within_topology,grid_2d,graph,max_degree,swap_count,0.9645207042403907,60,0.9645207042403907
within_topology,grid_2d,graph,max_degree,depth_overhead,0.32987393462751463,60,0.32987393462751463
within_topology,grid_2d,graph,max_degree,twoq_overhead,0.9406608670690668,60,0.9406608670690668
within_topology,grid_2d,graph,weighted_degree_mean,pre_transpile_depth,0.9762556917060937,60,0.9762556917060937
within_topology,grid_2d,graph,weighted_degree_mean,pre_transpile_2q_count,0.9197083483880341,60,0.9197083483880341
within_topology,grid_2d,graph,weighted_degree_mean,transpiled_depth,0.9692025409648453,60,0.9692025409648453
within_topology,grid_2d,graph,weighted_degree_mean,transpiled_2q_count,0.9240228226876097,60,0.9240228226876097
within_topology,grid_2d,graph,weighted_degree_mean,swap_count,0.9469034790205564,60,0.9469034790205564
within_topology,grid_2d,graph,weighted_degree_mean,depth_overhead,0.3241110632975491,60,0.3241110632975491
within_topology,grid_2d,graph,weighted_degree_mean,twoq_overhead,0.919894748862743,60,0.919894748862743
within_topology,grid_2d,graph,weighted_degree_max,pre_transpile_depth,0.9782845049369171,60,0.9782845049369171
within_topology,grid_2d,graph,weighted_degree_max,pre_transpile_2q_count,0.8794174191593931,60,0.8794174191593931
within_topology,grid_2d,graph,weighted_degree_max,transpiled_depth,0.9616161261373808,60,0.9616161261373808
within_topology,grid_2d,graph,weighted_degree_max,transpiled_2q_count,0.8841021368151073,60,0.8841021368151073
within_topology,grid_2d,graph,weighted_degree_max,swap_count,0.9179665846805946,60,0.9179665846805946
within_topology,grid_2d,graph,weighted_degree_max,depth_overhead,0.24807285206940327,60,0.24807285206940327
within_topology,grid_2d,graph,weighted_degree_max,twoq_overhead,0.8951026037455094,60,0.8951026037455094
within_topology,grid_2d,graph,coefficient_entropy,pre_transpile_depth,-0.2193025393115638,60,0.2193025393115638
within_topology,grid_2d,graph,coefficient_entropy,pre_transpile_2q_count,-0.11389625573972297,60,0.11389625573972297
within_topology,grid_2d,graph,coefficient_entropy,transpiled_depth,-0.22132442079131065,60,0.22132442079131065
within_topology,grid_2d,graph,coefficient_entropy,transpiled_2q_count,-0.12517379693225458,60,0.12517379693225458
within_topology,grid_2d,graph,coefficient_entropy,swap_count,-0.15563547789627727,60,0.15563547789627727
within_topology,grid_2d,graph,coefficient_entropy,depth_overhead,0.5414235884607137,60,0.5414235884607137
within_topology,grid_2d,graph,coefficient_entropy,twoq_overhead,-0.1569256569623753,60,0.1569256569623753
within_topology,grid_2d,graph,modularity,pre_transpile_depth,-0.8415586441950621,60,0.8415586441950621
within_topology,grid_2d,graph,modularity,pre_transpile_2q_count,-0.6544353386146514,60,0.6544353386146514
within_topology,grid_2d,graph,modularity,transpiled_depth,-0.8153634638202099,60,0.8153634638202099
within_topology,grid_2d,graph,modularity,transpiled_2q_count,-0.6628571572720794,60,0.6628571572720794
within_topology,grid_2d,graph,modularity,swap_count,-0.7412237378124861,60,0.7412237378124861
within_topology,grid_2d,graph,modularity,depth_overhead,-0.026839668188632607,60,0.026839668188632607
within_topology,grid_2d,graph,modularity,twoq_overhead,-0.7049229618811284,60,0.7049229618811284
within_topology,grid_2d,alignment,topology_alignment_ratio,pre_transpile_depth,-0.9169429353354404,60,0.9169429353354404
within_topology,grid_2d,alignment,topology_alignment_ratio,pre_transpile_2q_count,-0.8427420251530295,60,0.8427420251530295
within_topology,grid_2d,alignment,topology_alignment_ratio,transpiled_depth,-0.9166192807214645,60,0.9166192807214645
within_topology,grid_2d,alignment,topology_alignment_ratio,transpiled_2q_count,-0.8523833053979498,60,0.8523833053979498
within_topology,grid_2d,alignment,topology_alignment_ratio,swap_count,-0.9104221688019781,60,0.9104221688019781
within_topology,grid_2d,alignment,topology_alignment_ratio,depth_overhead,-0.3261657588288449,60,0.3261657588288449
within_topology,grid_2d,alignment,topology_alignment_ratio,twoq_overhead,-0.9072010751182847,60,0.9072010751182847
within_topology,grid_2d,alignment,weighted_topology_alignment_ratio,pre_transpile_depth,-0.9108562152002977,60,0.9108562152002977
within_topology,grid_2d,alignment,weighted_topology_alignment_ratio,pre_transpile_2q_count,-0.7966623941524253,60,0.7966623941524253
within_topology,grid_2d,alignment,weighted_topology_alignment_ratio,transpiled_depth,-0.9011207651267168,60,0.9011207651267168
within_topology,grid_2d,alignment,weighted_topology_alignment_ratio,transpiled_2q_count,-0.8069378640064431,60,0.8069378640064431
within_topology,grid_2d,alignment,weighted_topology_alignment_ratio,swap_count,-0.86988421588957,60,0.86988421588957
within_topology,grid_2d,alignment,weighted_topology_alignment_ratio,depth_overhead,-0.25940453831353816,60,0.25940453831353816
within_topology,grid_2d,alignment,weighted_topology_alignment_ratio,twoq_overhead,-0.8619136358573907,60,0.8619136358573907
within_topology,grid_2d,alignment,mean_topology_distance,pre_transpile_depth,0.9232431101163756,60,0.9232431101163756
within_topology,grid_2d,alignment,mean_topology_distance,pre_transpile_2q_count,0.9140287516748894,60,0.9140287516748894
within_topology,grid_2d,alignment,mean_topology_distance,transpiled_depth,0.9393792197383302,60,0.9393792197383302
within_topology,grid_2d,alignment,mean_topology_distance,transpiled_2q_count,0.9222467264871532,60,0.9222467264871532
within_topology,grid_2d,alignment,mean_topology_distance,swap_count,0.9590180911902968,60,0.9590180911902968
within_topology,grid_2d,alignment,mean_topology_distance,depth_overhead,0.41330313951545555,60,0.41330313951545555
within_topology,grid_2d,alignment,mean_topology_distance,twoq_overhead,0.9600804495198612,60,0.9600804495198612
within_topology,grid_2d,alignment,weighted_mean_topology_distance,pre_transpile_depth,0.9254069101236105,60,0.9254069101236105
within_topology,grid_2d,alignment,weighted_mean_topology_distance,pre_transpile_2q_count,0.8844158288753358,60,0.8844158288753358
within_topology,grid_2d,alignment,weighted_mean_topology_distance,transpiled_depth,0.9335546616017761,60,0.9335546616017761
within_topology,grid_2d,alignment,weighted_mean_topology_distance,transpiled_2q_count,0.8927698700676632,60,0.8927698700676632
within_topology,grid_2d,alignment,weighted_mean_topology_distance,swap_count,0.934612267613854,60,0.934612267613854
within_topology,grid_2d,alignment,weighted_mean_topology_distance,depth_overhead,0.4291268463707673,60,0.4291268463707673
within_topology,grid_2d,alignment,weighted_mean_topology_distance,twoq_overhead,0.9370035571074042,60,0.9370035571074042
within_topology,grid_2d,alignment,max_topology_distance,pre_transpile_depth,0.8623314815015114,60,0.8623314815015114
within_topology,grid_2d,alignment,max_topology_distance,pre_transpile_2q_count,0.8901662126124166,60,0.8901662126124166
within_topology,grid_2d,alignment,max_topology_distance,transpiled_depth,0.8786175518794125,60,0.8786175518794125
within_topology,grid_2d,alignment,max_topology_distance,transpiled_2q_count,0.8941349827050131,60,0.8941349827050131
within_topology,grid_2d,alignment,max_topology_distance,swap_count,0.9006514336590662,60,0.9006514336590662
within_topology,grid_2d,alignment,max_topology_distance,depth_overhead,0.47601373499651006,60,0.47601373499651006
within_topology,grid_2d,alignment,max_topology_distance,twoq_overhead,0.8931745219976661,60,0.8931745219976661
within_topology,heavy_hex_like,graph,n_edges,pre_transpile_depth,0.9370952321977969,60,0.9370952321977969
within_topology,heavy_hex_like,graph,n_edges,pre_transpile_2q_count,1.0,60,1.0
within_topology,heavy_hex_like,graph,n_edges,transpiled_depth,0.950416618200781,60,0.950416618200781
within_topology,heavy_hex_like,graph,n_edges,transpiled_2q_count,0.9971764153150562,60,0.9971764153150562
within_topology,heavy_hex_like,graph,n_edges,swap_count,0.9601891440805641,60,0.9601891440805641
within_topology,heavy_hex_like,graph,n_edges,depth_overhead,0.5583221075467981,60,0.5583221075467981
within_topology,heavy_hex_like,graph,n_edges,twoq_overhead,0.9241100902608383,60,0.9241100902608383
within_topology,heavy_hex_like,graph,density,pre_transpile_depth,0.757885480491866,60,0.757885480491866
within_topology,heavy_hex_like,graph,density,pre_transpile_2q_count,0.5836580317979837,60,0.5836580317979837
